,mapped_veh_id,timestamps_utc,lat,lon,rs_e_inairtemp_pc1,rs_e_inairtemp_pc2,rs_e_oilpress_pc1,rs_e_oilpress_pc2,rs_e_rpm_pc1,rs_e_rpm_pc2,rs_e_wattemp_pc1,rs_e_wattemp_pc2,rs_t_oiltemp_pc1,rs_t_oiltemp_pc2,pg_point,utm_point,anomaly id
9369,102,2023-05-15 02:48:25,51.0166804,3.7721687,8.0,11.0,586.0,593.0,800.0,797.0,20.0,20.0,17.0,16.0,0101000020E61000006CF58BC8662D0E40FA3D569522824940,0101000020777F0000B2D4D4FE65E92041D3E7BEE17E8F5541,iso results
9541,102,2023-03-27 02:22:33,50.7744478,3.8728216,4.0,4.0,589.0,624.0,800.0,800.0,8.0,7.0,9.0,6.0,0101000020E61000006CF019E489FB0E40C5BA021B21634940,0101000020777F0000B89D380F0B232141145E479044755541,iso results
9555,102,2023-03-20 00:23:53,50.8552035,3.6062399,5.0,5.0,614.0,624.0,799.0,799.0,12.0,11.0,8.0,7.0,0101000020E6100000133E004E94D90C405EF6EB4E776D4940,0101000020777F0000DC1EF36E9F8F20414D037290DA7D5541,iso results
9558,102,2023-03-06 02:11:06,50.8562968,3.6076848,3.0,4.0,562.0,583.0,801.0,797.0,25.0,21.0,6.0,6.0,0101000020E6100000DD3532D989DC0C40B1D52F229B6D4940,0101000020777F00008C5869D668902041C324B42AF97D5541,iso results
9606,102,2023-03-01 13:54:53,51.0157388,3.7747645,15.0,7.0,565.0,600.0,1464.0,1420.0,43.0,38.0,27.0,24.0,0101000020E610000078D0ECBAB7320E409FA39FBA03824940,0101000020777F000053110B5AD4EA2041E582BC2E658F5541,iso results
9615,102,2023-02-28 00:36:07,51.015690899999996,3.7743448500000003,3.0,2.0,548.0,553.5,801.0,799.0,28.0,27.0,20.0,16.0,0101000020E6100000B49B74B6DB310E40222CCF2802824940,0101000020777F0000D6D7629799EA20411CB009C6638F5541,iso results
9697,102,2023-02-28 00:34:27,51.0155557,3.7746064,3.0,2.0,569.0,562.0,796.0,801.0,25.0,23.0,16.0,16.0,0101000020E6100000A92D1AD764320E401962ABBAFD814940,0101000020777F00008FCF9999BEEA20412CD42A10608F5541,iso results
9699,102,2023-02-28 00:36:27,51.0157806,3.7740515,3.0,2.0,548.0,545.0,801.0,802.0,29.0,27.0,17.0,16.0,0101000020E6100000A35BAFE941310E40A474441905824940,0101000020777F0000B96F5E3A70EA204109DA9736668F5541,iso results
9718,102,2023-02-28 00:35:27,51.01568515,3.77434195,3.0,2.0,551.5,556.5,800.0,800.0,27.0,25.5,19.0,16.0,0101000020E6100000F05D3931DA310E40352493F801824940,0101000020777F000098C1AC3299EA2041DF8EFA9C638F5541,iso results
9845,102,2023-08-02 10:04:46,51.0141444,3.7798881,20.0,20.0,572.0,596.0,800.0,800.0,21.0,21.0,20.0,20.0,0101000020E61000000E51E0F8353D0E40F5B5D37BCF814940,0101000020777F0000FE7F81E3A6ED20410C1A18CE398F5541,iso results
9905,102,2023-04-03 08:51:36,51.0144435,3.7785277,5.0,6.0,621.0,617.0,798.0,796.0,8.0,8.0,8.0,8.0,0101000020E6100000A53D14BB6C3A0E40E411DC48D9814940,0101000020777F00000EBA9054E7EC2041683833DE418F5541,iso results
9974,102,2023-03-11 09:03:58,50.856398,3.6076423,1.0,1.5,608.5,610.5,798.0,795.0,8.0,11.0,0.0,2.5,0101000020E61000006C54F19073DC0C400E2E1D739E6D4940,0101000020777F000064066FAB6290204187F658F9FB7D5541,iso results
