,mapped_veh_id,timestamps_utc,lat,lon,rs_e_inairtemp_pc1,rs_e_inairtemp_pc2,rs_e_oilpress_pc1,rs_e_oilpress_pc2,rs_e_rpm_pc1,rs_e_rpm_pc2,rs_e_wattemp_pc1,rs_e_wattemp_pc2,rs_t_oiltemp_pc1,rs_t_oiltemp_pc2,pg_point,utm_point,anomaly id
12274,102,2023-02-27 05:29:31,51.0139659,3.778872,0.5,2.0,293.0,594.5,400.0,803.0,6.0,20.0,9.0,14.0,0101000020E610000030293E3E213B0E402EE175A2C9814940,0101000020777F0000F99871C118ED2041C4E27CA7348F5541,iso results
12280,102,2023-02-06 00:05:14,50.8550192,3.6058175,3.0,4.0,596.0,631.0,798.0,797.0,8.0,8.0,7.0,4.0,0101000020E61000007FC16ED8B6D80C40DEB9E644716D4940,0101000020777F0000A0B27D4E648F2041C45F3661D57D5541,iso results
12320,102,2023-02-28 00:34:26,51.015805,3.7740168,3.0,2.0,555.0,576.0,798.0,797.0,24.0,23.0,17.0,16.0,0101000020E6100000C46F54B82F310E40800EF3E505824940,0101000020777F0000B0B3904D6BEA20419E389CE2668F5541,iso results
12559,102,2023-04-03 08:55:07,51.0144475,3.778523,6.0,6.0,576.0,583.0,799.0,800.0,22.0,16.0,10.0,9.0,0101000020E6100000707841446A3A0E4026016A6AD9814940,0101000020777F0000EBFE5BA9E6EC20411AE571FA418F5541,iso results
12672,102,2023-03-11 09:07:00,50.8567264,3.6081034,2.0,2.0,576.0,593.0,800.0,801.0,22.0,18.0,4.0,4.0,0101000020E6100000F6B0BC5065DD0C4056CFEE35A96D4940,0101000020777F0000F8EE47FAA2902041385D972B057E5541,iso results
12777,102,2023-03-01 13:42:55,51.0157398,3.7746621,16.0,6.0,576.0,583.0,799.0,797.0,21.0,15.0,11.0,9.0,0101000020E6100000FF9A070B82320E406F1F03C303824940,0101000020777F0000E7FAD9FBC5EA2041727A0531658F5541,iso results
12803,102,2023-03-20 00:27:38,50.8548509,3.6058074,5.0,6.0,562.0,572.0,799.0,797.0,28.0,21.0,8.0,9.0,0101000020E6100000F965D58CB1D80C40643A19C16B6D4940,0101000020777F00008ADD1431638F204169A815B3D07D5541,iso results
13122,102,2023-02-06 00:09:17,50.8550777,3.6058919,4.0,4.0,576.0,596.0,799.0,802.0,25.0,23.0,8.0,7.0,0101000020E6100000594A3BDADDD80C40FB84A22F736D4940,0101000020777F000022076CAC6E8F204168FB4A04D77D5541,iso results
13172,102,2023-02-27 05:41:18,51.0137105,3.7794379,1.0,1.0,579.0,524.0,801.0,800.0,21.0,34.0,13.0,20.0,0101000020E6100000751A0EF0493C0E40508E0244C1814940,0101000020777F0000059CB7BF68ED20413CA6AEA82D8F5541,iso results
13201,102,2023-01-31 13:20:35,51.0162694,3.7734248,7.0,7.0,607.0,617.0,796.0,799.0,14.0,11.0,4.0,8.0,0101000020E61000009E526F57F92F0E4078769E1D15824940,0101000020777F00003EBC0C2B17EA204192FECFAF738F5541,iso results
13216,102,2023-03-01 13:40:55,51.0157692,3.7746519,16.0,6.0,579.0,593.0,798.0,798.0,13.0,8.0,11.0,8.0,0101000020E61000002B4602B27C320E405D24A3B904824940,0101000020777F00001E8CEF7BC4EA20414E1BC701668F5541,iso results
13313,102,2023-03-27 02:28:06,50.7744761,3.8727993,4.0,5.0,558.0,562.0,797.0,795.0,24.0,20.0,12.0,8.0,0101000020E610000007C60B337EFB0E404E84680822634940,0101000020777F000060BC2DD707232141FBB17D5845755541,iso results
13474,102,2023-02-06 00:08:16,50.8553672,3.6062732,3.0,4.0,576.0,583.0,797.0,800.0,21.0,20.0,6.0,6.0,0101000020E6100000B78773C3A5D90C401A0923AC7C6D4940,0101000020777F000081ED87D2A38F2041D1A6B11EDF7D5541,iso results
13511,102,2023-01-31 13:19:36,51.0162377,3.7733811,7.0,7.0,589.0,593.0,799.0,799.0,11.0,8.0,4.0,7.0,0101000020E61000008CC11E6EE22F0E402B3BB31314824940,0101000020777F0000EA6E901C11EA204196B725CC728F5541,iso results
13512,102,2023-01-31 13:23:27,51.0160295,3.7739998,8.0,7.0,576.0,569.0,798.0,799.0,27.0,22.0,10.0,9.0,0101000020E610000063E2A0CE26310E40B82231410D824940,0101000020777F0000B3C7CC6468EA20411C0E8F1F6D8F5541,iso results
13629,102,2023-03-11 09:03:05,50.8563979,3.6076448,1.0,1.0,603.0,614.0,786.0,797.0,5.0,9.0,0.0,1.0,0101000020E6100000FAAC7CE074DC0C40796E46729E6D4940,0101000020777F000021D4920563902041B87CBAF8FB7D5541,iso results
